"Anno","Mese","Cantone","Pernottamenti"
"2006","Agosto","Fribourg / Freiburg",43082
"2006","Agosto","Solothurn",31328
"2006","Agosto","Basel-Stadt",75993
"2006","Agosto","Basel-Landschaft",18544
"2006","Agosto","Schaffhausen",13500
"2006","Agosto","Appenzell Ausserrhoden",17219
"2006","Agosto","Appenzell Innerrhoden",20944
"2006","Agosto","St. Gallen",106520
"2006","Agosto","Graubünden / Grigioni / Grischun",638024
"2006","Agosto","Aargau",61610
"2006","Agosto","Thurgau",43799
"2006","Agosto","Ticino",412254
"2006","Agosto","Vaud",261398
"2006","Agosto","Valais / Wallis",478754
"2006","Agosto","Neuchâtel",24071
"2006","Agosto","Genève",264682
"2006","Agosto","Jura",10166
"2006","Settembre","Schweiz",3372030
"2006","Settembre","Zürich",365763
"2006","Settembre","Bern / Berne",496756
"2006","Settembre","Luzern",179825
"2006","Settembre","Uri",27990
"2006","Settembre","Schwyz",60042
"2006","Settembre","Obwalden",61772
"2006","Settembre","Nidwalden",30146
"2006","Settembre","Glarus",14724
"2006","Settembre","Zug",24985
"2006","Settembre","Fribourg / Freiburg",38366
"2006","Settembre","Solothurn",33302
"2006","Settembre","Basel-Stadt",78135
"2006","Settembre","Basel-Landschaft",23024
"2006","Settembre","Schaffhausen",13853
"2006","Settembre","Appenzell Ausserrhoden",17404
"2006","Settembre","Appenzell Innerrhoden",24751
"2006","Settembre","St. Gallen",103985
"2006","Settembre","Graubünden / Grigioni / Grischun",466754
"2006","Settembre","Aargau",63728
"2006","Settembre","Thurgau",43983
"2006","Settembre","Ticino",335124
"2006","Settembre","Vaud",241777
"2006","Settembre","Valais / Wallis",341330
"2006","Settembre","Neuchâtel",22914
"2006","Settembre","Genève",251410
"2006","Settembre","Jura",10187
"2006","Ottobre","Schweiz",2627298
"2006","Ottobre","Zürich",347812
"2006","Ottobre","Bern / Berne",359831
"2006","Ottobre","Luzern",138230
"2006","Ottobre","Uri",14591
"2006","Ottobre","Schwyz",50823
"2006","Ottobre","Obwalden",39101
"2006","Ottobre","Nidwalden",21424
"2006","Ottobre","Glarus",12637
"2006","Ottobre","Zug",22940
"2006","Ottobre","Fribourg / Freiburg",31408
"2006","Ottobre","Solothurn",29956
"2006","Ottobre","Basel-Stadt",80886
"2006","Ottobre","Basel-Landschaft",21858
"2006","Ottobre","Schaffhausen",10111
